A池刘果-HLHF-1,124672-0,43
A池刘果-HLHF-2,124672-1,43
A池刘果-HLHF-3,124672-2,43
A池张沟村-HLHF-1,124673-0,43
A池张沟村-HLHF-2,124673-1,43
A池张沟村-HLHF-3,124673-2,43
A池苏门-HLHF-1,124674-0,43
A池苏门-HLHF-2,124674-1,30
A池苏门-HLHF-3,124674-2,30
A池南涧-HLHF-1,124675-0,43
A池南涧-HLHF-2,124675-1,30
A池南涧-HLHF-3,124675-2,43
A池峪洞-HLHF-1,124676-0,43
A池峪洞-HLHF-2,124676-1,43
A池峪洞-HLHF-3,124676-2,43
A池高岭-HLHF-1,124677-0,30
A池高岭-HLHF-2,124677-1,48
A池高岭-HLHF-3,124677-2,30
A池东坡头-HLHF-1,124678-0,23
A池东坡头-HLHF-2,124678-1,23
A池东坡头-HLHF-3,124678-2,23
A池姜王庄-HLHF-1,124679-0,33
A池姜王庄-HLHF-2,124679-1,33
A池姜王庄-HLHF-3,124679-2,33
A池寺庄-HLHF-1,124680-0,33
A池寺庄-HLHF-2,124680-1,33
A池寺庄-HLHF-3,124680-2,33
A池杨大池东洼-HLHF-1,124681-0,33
A池杨大池东洼-HLHF-2,124681-1,33
A池杨大池东洼-HLHF-3,124681-2,33
A池甘涧-HLHF-1,124683-0,33
A池甘涧-HLHF-2,124683-1,30
A池甘涧-HLHF-3,124683-2,33
A池东张村-HLHF-1,124684-0,30
A池东张村-HLHF-2,124684-1,33
A池东张村-HLHF-3,124684-2,33
A池东段村-HLHF-1,124685-0,33
A池东段村-HLHF-2,124685-1,33
A池东段村-HLHF-3,124685-2,33
A池杨河村-HLHF-1,124686-0,33
A池杨河村-HLHF-2,124686-1,33
A池杨河村-HLHF-3,124686-2,33
A池堤坞-HLHF-1,124687-0,33
A池堤坞-HLHF-2,124687-1,33
A池堤坞-HLHF-3,124687-2,33
A池店沟-HLHF-1,124688-0,33
A池店沟-HLHF-2,124688-1,33
A池店沟-HLHF-3,124688-2,33
A池洪阳五庄-HLHF-1,124689-0,33
A池洪阳五庄-HLHF-2,124689-1,33
A池洪阳五庄-HLHF-3,124689-2,33
A池洪阳五庄-HLHF-4,124689-3,33
A池刘庄-HLHF-1,124690-0,33
A池刘庄-HLHF-2,124690-1,33
A池刘庄-HLHF-3,124690-2,33
A池崤店-HLHF-1,124691-0,33
A池崤店-HLHF-2,124691-1,33
A池崤店-HLHF-3,124691-2,33
A池五爱-HLHF-1,124692-0,30
A池五爱-HLHF-2,124692-1,30
A池五爱-HLHF-3,124692-2,30
A池张村寨-HLHF-1,124693-0,33
A池张村寨-HLHF-2,124693-1,33
A池张村寨-HLHF-3,124693-2,33
A池气象局-HLHF-1,124694-0,33
A池气象局-HLHF-2,124694-1,33
A池气象局-HLHF-3,124694-2,33
A池耿村医院-HLHF-1,124695-0,20
A池耿村医院-HLHF-2,124695-1,20
A池耿村医院-HLHF-3,124695-2,20
A池堡后-HLHF-1,124697-0,33
A池堡后-HLHF-2,124697-1,33
A池堡后-HLHF-3,124697-2,33
A池鱼池-HLHF-1,124698-0,30
A池鱼池-HLHF-2,124698-1,43
A池鱼池-HLHF-3,124698-2,30
A池李家村-HLHF-1,124699-0,33
A池李家村-HLHF-2,124699-1,33
A池李家村-HLHF-3,124699-2,33
A池展庄-HLHF-1,124700-0,30
A池展庄-HLHF-2,124700-1,30
A池展庄-HLHF-3,124700-2,30
A池东七里-HLHF-1,124701-0,33
A池东七里-HLHF-2,124701-1,33
A池东七里-HLHF-3,124701-2,33
康乐瑞景-HLHF-1,124702-0,40
康乐瑞景-HLHF-2,124702-1,40
康乐瑞景-HLHF-3,124702-2,40
北梁-HLHF-1,124703-0,33
北梁-HLHF-2,124703-1,33
北梁-HLHF-3,124703-2,33
侯桥-HLHF-1,124704-0,33
侯桥-HLHF-2,124704-1,33
侯桥-HLHF-3,124704-2,33
交口工业区-HLHF-1,124705-0,14
交口工业区-HLHF-2,124705-1,14
交口工业区-HLHF-3,124705-2,14
