124911-1,A池野狐沟-HLHF-2,259598-2,A池峪沟-HLHF-3,9.99
253796-2,A池尼桑汽修-HLHF-3,15310-128,A池孟东矿-HLHF-1,9.99
253918-2,B马千秋-HLHF-3,15513-129,A池铁索沟-HLHF-2,9.99
47459-2,A池热能公司-HLHF-3,253890-0,B马大鸿泰美化塔-HLHF-1,9.99
253900-1,B马鸿泰量贩-HLHF-2,253900-0,B马鸿泰量贩-HLHF-1,9.99
253923-1,B马荣华宾馆-HLHF-2,15513-129,A池铁索沟-HLHF-2,9.99
253927-0,B马体育公园美化塔-HLHF-1,253940-2,B马质检局-HLHF-3,9.99
15322-130,A池山韭沟-HLHF-3,253894-2,B马东马岭-HLHF-3,9.99
253923-0,B马荣华宾馆-HLHF-1,253914-1,B马棚户区-HLHF-2,9.99
47467-0,B马常村派出所-HLHF-1,124923-0,B马东苗元-HLHF-1,9.99
259654-0,A池仰韶镇政府-HLHF-1,253934-2,B马义渑快速通道美化塔-HLHF-3,9.99
253910-1,B马梁沟-HLHF-2,47438-0,A池涧北-HLHF-1,9.99
253898-1,B马郭庄村委大队部-HLHF-2,253904-1,B马锦江国际美化塔-HLHF-2,9.98
15117-129,B马千秋四组-HLHF-2,253918-2,B马千秋-HLHF-3,9.98
124684-2,A池东张村-HLHF-3,124688-2,A池店沟-HLHF-3,9.98
259781-1,B马怡馨家园-HLHF-2,15114-129,B马兴苑小区-HLHF-2,9.98
259655-2,A池仰韶贺滹沱-HLHF-3,259595-2,A池东阳-HLHF-3,9.98
15516-128,B马常村矿医院-HLHF-1,15311-129,A池庙东洼-HLHF-2,9.98
124697-0,A池堡后-HLHF-1,253893-1,B马东海大酒店-HLHF-2,9.98
5662-130,A池仰韶酒厂-HLHF-3,274161-129,B马二十里铺二-HLHF-2,9.98
124711-0,B马石门村-HLHF-1,253929-1,B马五一宾馆-HLHF-2,9.98
47459-1,A池热能公司-HLHF-2,15511-129,A池耿村食堂-HLHF-2,9.98
47459-1,A池热能公司-HLHF-2,253786-0,A池交警队-HLHF-1,9.98
253912-1,B马龙山街-HLHF-2,47438-1,A池涧北-HLHF-2,9.98
47470-2,B马南河-HLHF-3,15513-129,A池铁索沟-HLHF-2,9.98
15113-128,B马金银叶小区-HLHF-1,253911-1,B马梁沟社区-HLHF-2,9.98
15322-128,A池山韭沟-HLHF-1,253908-0,B马连银三区-HLHF-1,9.98
7401-128,A池新房-HLHF-1,15121-129,A池万洋国际-HLHF-2,9.98
253905-2,B马凯瑞彩钢厂-HLHF-3,253917-2,B马汽修厂-HLHF-3,9.98
259598-2,A池峪沟-HLHF-3,253813-2,A池新华街-HLHF-3,9.97
253937-1,B马跃进煤矿-HLHF-2,259781-0,B马怡馨家园-HLHF-1,9.97
15311-128,A池庙东洼-HLHF-1,15318-130,A池茹家沟-HLHF-3,9.97
253908-2,B马连银三区-HLHF-3,253930-128,B马水厂-HLHF-1,9.97
253908-1,B马连银三区-HLHF-2,253939-1,B马振兴化工厂-HLHF-2,9.97
15117-130,B马千秋四组-HLHF-3,253928-1,B马文武学校-HLHF-2,9.97
253915-1,B马汽车城-HLHF-2,15513-129,A池铁索沟-HLHF-2,9.97
15113-128,B马金银叶小区-HLHF-1,253912-0,B马龙山街-HLHF-1,9.97
47459-2,A池热能公司-HLHF-3,253801-1,A池水利局-HLHF-2,9.97
15307-129,A池马沟-HLHF-2,47433-0,A池庚村-HLHF-1,9.97
15311-130,A池庙东洼-HLHF-3,259654-0,A池仰韶镇政府-HLHF-1,9.97
15290-128,A池崔门-HLHF-1,124687-0,A池堤坞-HLHF-1,9.97
124712-0,B马二十里铺-HLHF-1,259598-2,A池峪沟-HLHF-3,9.97
253901-0,B马华山路-HLHF-1,47443-0,A池塔泥-HLHF-1,9.97
253898-1,B马郭庄村委大队部-HLHF-2,7400-129,B马二高-HLHF-2,9.97
253912-0,B马龙山街-HLHF-1,259772-2,B马红盾宾馆-HLHF-3,9.97
15513-130,A池铁索沟-HLHF-3,124695-2,A池耿村医院-HLHF-3,9.97
253917-2,B马汽修厂-HLHF-3,253929-0,B马五一宾馆-HLHF-1,9.96
253902-1,B马建材市场-HLHF-2,253928-0,B马文武学校-HLHF-1,9.96
253905-1,B马凯瑞彩钢厂-HLHF-2,253893-2,B马东海大酒店-HLHF-3,9.96
253940-1,B马质检局-HLHF-2,253936-2,B马银杏路-HLHF-3,9.96
253906-1,B马狂口-HLHF-2,253912-2,B马龙山街-HLHF-3,9.96
124677-0,A池高岭-HLHF-1,124812-1,A池高村-HLHF-2,9.96
124812-1,A池高村-HLHF-2,259595-2,A池东阳-HLHF-3,9.96
15301-128,A池胡疙瘩-HLHF-1,47438-2,A池涧北-HLHF-3,9.96
253936-0,B马银杏路-HLHF-1,7400-129,B马二高-HLHF-2,9.96
124712-0,B马二十里铺-HLHF-1,124712-1,B马二十里铺-HLHF-2,9.96
15290-129,A池崔门-HLHF-2,274161-129,B马二十里铺二-HLHF-2,9.96
253916-2,B马汽车站-HLHF-3,253916-1,B马汽车站-HLHF-2,9.96
259781-1,B马怡馨家园-HLHF-2,259761-1,B马毛沟棚户区-HLHF-2,9.96
259654-1,A池仰韶镇政府-HLHF-2,253778-1,A池河西村-HLHF-2,9.96
15114-128,B马兴苑小区-HLHF-1,259782-2,B马千秋煤矿农场-HLHF-3,9.95
124712-2,B马二十里铺-HLHF-3,124711-2,B马石门村-HLHF-3,9.95
253911-2,B马梁沟社区-HLHF-3,124812-1,A池高村-HLHF-2,9.95
253792-0,A池林业局-HLHF-1,15476-128,A池康洼-HLHF-1,9.95
7197-129,H霍A池洪阳镇电管所-HLHF-2,124691-0,A池崤店-HLHF-1,9.95
253900-0,B马鸿泰量贩-HLHF-1,124924-0,B马香山南街-HLHF-1,9.95
253896-2,B马高速入口-HLHF-3,7200-128,H霍B马高速东-HLHF-1,9.95
15496-130,B马民俗村-HLHF-3,273929-128,B马弯子-HLHF-1,9.95
124898-0,B马310国道煤场-HLHF-1,253938-1,B马跃进小学-HLHF-2,9.95
238397-0,B马新大楼-HLHF-1,15476-128,A池康洼-HLHF-1,9.95
253938-1,B马跃进小学-HLHF-2,124684-0,A池东张村-HLHF-1,9.95
15114-130,B马兴苑小区-HLHF-3,253918-0,B马千秋-HLHF-1,9.95
253899-2,B马洪庆公园-HLHF-3,253891-0,B马电视台-HLHF-1,9.95
273934-129,A池雷沟-HLHF-2,259594-2,A池洪阳街-HLHF-3,9.95
253941-1,B马中澜化工-HLHF-2,253916-0,B马汽车站-HLHF-1,9.95
253933-1,B马西裴村-HLHF-2,253933-0,B马西裴村-HLHF-1,9.95
